chiSquare info:
保时捷 900.934906556
下一场 900.403932963
机会 899.101006501
省油 897.227116788
演艺 894.580181085
司令部 893.894081768
魔法 892.941719068
制片人 891.410300521
电影节 891.354435763
牛奶 890.746643656
淘汰赛 889.081685157
肠道 888.95522891
德比 888.609371064
视频 887.621210325
蔬菜 887.505239197
蛋白 887.443922367
俄罗斯 887.228729774
政委 886.016569212
下滑 885.488459609
大屏 882.745787831
跳投 882.680359875
真皮座椅 882.380401817
需求 881.713157433
学子 880.484831311
洋房 880.474608234
名师 879.433129658
香港 879.182476461
题目 877.872775052
提振 877.373199616
复印件 875.882640541
买车 875.733734561
ph 874.862814631
均线 873.713829622
收益率 872.982260681
o2 872.970477664
止损 872.056470234
倒车雷达 871.72872435
电容 871.675816686
搜索 871.051167959
政策 870.910370859
留学生 870.095194674
男篮 868.909729978
股指 868.183944254
利物浦 867.972921338
hdmi 867.230474322
上期 866.899247845
客户 866.269444729
销售服务 866.12896674
网上购物 865.682540964
轰炸机 865.530937194
孩子 864.994952298
乘客 864.07106368
球门 862.329292847
酶 861.627973015
航线 861.542154915
wan 861.381942836
惠普 860.47909952
车门 859.348562082
画面 859.291293709
台湾 859.247688604
两支 858.536298688
etf 858.193935064
证书 856.403938577
专营店 855.657647044
更衣室 855.590162177
绝杀 855.23053896
参赛 855.011198737
vv 854.757220004
挑衅 854.66198981
净利润 854.650691222
首播 854.230547227
宽带 851.485977689
射手 850.721971771
翻盘 850.721971771
专科 849.688068394
全运会 849.452078378
竞技场 849.387435975
置换 848.774988021
本田 848.076578914
标题 848.051141429
房屋 846.221108293
百分点 844.721483697
乐坛 844.180071618
展厅 843.663267313
在场 843.487214662
男主角 843.185311207
奥运会 842.255725659
基本面 842.228920218
商铺 842.193635839
le 842.180546514
预装 841.953145026
考核 841.734494598
条件 840.945828921
公安分局 840.785429937
上课 840.432595887
部位 839.277234283
分站 838.720496857
睡眠 838.603502471
ex 838.396305142
停赛 838.38319081
肠 837.989341647
家轿 837.969696214
指挥 837.85337128
疲软 837.021572684
中国移动 835.631578269
无缘 835.607040646
酷睿 834.238568519
踢球 833.772611742
大会 832.91687169
贵金属 831.822577011
画质 831.304579603
外汇 830.384590034
创业板 830.218658665
教练组 829.104043754
齐全 829.09797284
连得 827.31033961
高血压 826.239670372
巡演 826.097124207
职业 825.506875197
辅导 823.425371754
无人机 823.350422389
交手 823.083328086
大容量 823.081521336
东海 822.967126366
维修 822.657090275
加成 821.670629984
ap 821.327706737
战术 820.862802961
材质 820.457644544
i5 819.974520302
思想 819.955352571
里奇 818.347869932
佳能 817.902457837
决议 817.126511909
座驾 816.929455854
总成 816.573783469
企业 816.270566156
组织 815.349859084
开场 814.919552763
低位 813.856147953
时刻 813.799348905
服役 813.681893644
授课 813.007351713
福彩 811.743168844
紧凑 811.605435574
er 811.42197113
推进 810.756164557
判断 809.681183017
容积率 809.569865698
抢救 809.48997098
性感 808.039178007
服务器 807.194266369
规定 807.024542538
新片 806.077898429
收视率 805.858174939
触摸屏 805.513069329
维生素a 805.071938797
收益 804.91664265
经济复苏 804.553373002
豪宅 803.131143828
阿尔 803.101302891
键盘 802.313129609
开发 802.1218433
日本 801.883023624
教育学 801.72890957
职称 801.687947765
更换 801.286880429
资本 800.972962408
冒险 800.189405465
利润 799.612681681
科目 799.235292232
拆除 796.712474741
缺阵 794.095278552
有车 793.562270908
融资 793.044963253
信贷 792.450042655
师范 792.321782003
线上 792.052152975
bmw 791.769874644
处女作 791.398329859
人数 791.349073153
科比 790.64887167
绿化 790.0792878
便秘 789.333421965
方便 788.580805952
打造 787.249079731
布朗 786.302396561
反对派 786.173083942
公司 786.049807568
便携 785.191099097
较量 784.965503606
时间 784.307234675
合作 784.29632537
陆军 784.112448045
校区 783.956097617
园区 783.295348111
上海通用 783.253056586
域名 782.988619729
女子 782.755046902
竞技 782.677274276
绿地 782.518805727
团购网 782.427296188
横扫 781.27830455
肥胖 781.02422078
糖尿病 780.283976962
发言人 779.830139023
掉落 779.60502078
神经 779.564371973
合格 778.836260911
特里 778.527989677
毒素 778.133174457
慢性 778.133174457
精装 776.967794753
领域 775.530254795
职业教育 774.497195628
上海大众 774.183426335
摄取 773.65171212
中日 772.777402023
斯特 772.674678698
整体 771.467082218
窄幅 771.325440263
注册 771.184071852
换下 769.65264872
macd 769.476122135
